 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            3000               4;
     1    0.009            3000              14;
     2    0.018            3000              62;
     3    0.027            3000             144;
     4    0.035            3000             249;
     5    0.044            3000             373;
     6    0.053            3000             515;
     7    0.062            3000             675;
     8    0.071            3000             850;
     9    0.080            3000            1031;
    10    0.089            3000            1217;
    11    0.097            3000            1404;
    12    0.106            3000            1590;
    13    0.115            3000            1771;
    14    0.124            3000            1947;
    15    0.133            3000            2120;
    16    0.142            3000            2289;
    17    0.151            3000            2450;
    18    0.159            3000            2604;
    19    0.168            3000            2750;
    20    0.177            3000            2888;
    21    0.186            3000            3019;
    22    0.195            3000            3143;
    23    0.204            3000            3262;
    24    0.213            3000            3373;
    25    0.221            3000            3476;
    26    0.230            3000            3571;
    27    0.239            3000            3658;
    28    0.248            3000            3736;
    29    0.257            3000            3807;
    30    0.266            3000            3872;
    31    0.274            3000            3932;
    32    0.283            3000            3987;
    33    0.292            3000            4035;
    34    0.301            3000            4078;
    35    0.310            3000            4115;
    36    0.319            3000            4147;
    37    0.328            3000            4174;
    38    0.336            3000            4198;
    39    0.345            3000            4217;
    40    0.354            3000            4235;
    41    0.363            3000            4249;
    42    0.372            3000            4262;
    43    0.381            3000            4272;
    44    0.390            3000            4280;
    45    0.398            3000            4286;
    46    0.407            3000            4292;
    47    0.416            3000            4296;
    48    0.425            3000            4299;
    49    0.434            3000            4301;
    50    0.443            3000            4302;
    51    0.452            3000            4302;
    52    0.460            3000            4302;
    53    0.469            3000            4303;
    54    0.478            3000            4303;
    55    0.487            3000            4304;
    56    0.496            3000            4305;
    57    0.505            3000            4305;
    58    0.514            3000            4305;
    59    0.522            3000            4305;
    60    0.531            3000            4305;
    61    0.540            3000            4305;
    62    0.549            3000            4305;
    63    0.558            3000            4305;
    64    0.567            3000            4305;
    65    0.576            3000            4306;
    66    0.584            3000            4307;
    67    0.593            3000            4307;
    68    0.602            3000            4307;
    69    0.611            3000            4307;
    70    0.620            3000            4307;
    71    0.629            3000            4307;
    72    0.638            3000            4307;
    73    0.646            3000            4307;
    74    0.655            3000            4307;
    75    0.664            3000            4307;
    76    0.673            3000            4307;
    77    0.682            3000            4307;
    78    0.691            3000            4308;
    79    0.699            3000            4309;
    80    0.708            3000            4309;
    81    0.717            3000            4309;
    82    0.726            3000            4309;
    83    0.735            3000            4309;
    84    0.744            3000            4309;
    85    0.753            3000            4309;
    86    0.761            3000            4309;
    87    0.770            3000            4309;
    88    0.779            3000            4309;
    89    0.788            3000            4309;
    90    0.797            3000            4310;
    91    0.806            3000            4310;
    92    0.815            3000            4310;
    93    0.823            3000            4310;
    94    0.832            3000            4310;
    95    0.841            3000            4310;
    96    0.850            3000            4310;
    97    0.859            3000            4310;
    98    0.868            3000            4310;
    99    0.877            3000            4310;
   100    0.885            3000            4310;
   101    0.894            3000            4310;
   102    0.903            3000            4310;
   103    0.912            3000            4310;
   104    0.921            3000            4310;
   105    0.930            3000            4310;
   106    0.939            3000            4310;
   107    0.947            3000            4310;
   108    0.956            3000            4310;
   109    0.965            3000            4310;
   110    0.974            3000            4310;
   111    0.983            3000            4310;
   112    0.992            3000            4311;
   113    1.001            3000            4311;
   114    1.009            3000            4311;
   115    1.018            3000            4311;
   116    1.027            3000            4311;
   117    1.036            3000            4311;
   118    1.045            3000            4311;
   119    1.054            3000            4311;
   120    1.063            3000            4311;
   121    1.071            3000            4311;
   122    1.080            3000            4311;
   123    1.089            3000            4311;
   124    1.098            3000            4311;
   125    1.107            3000            4311;
   126    1.116            3000            4311;
   127    1.124            3000            4311;
   128    1.133            3000            4311;
   129    1.142            3000            4311;
   130    1.151            3000            4312;
   131    1.160            3000            4312;
   132    1.169            3000            4312;
   133    1.178            3000            4312;
   134    1.186            3000            4312;
   135    1.195            3000            4312;
   136    1.204            3000            4312;
   137    1.213            3000            4312;
   138    1.222            3000            4312;
   139    1.231            3000            4312;
   140    1.240            3000            4312;
   141    1.248            3000            4312;
   142    1.257            3000            4312;
   143    1.266            3000            4312;
   144    1.275            3000            4312;
   145    1.284            3000            4312;
   146    1.293            3000            4312;
   147    1.302            3000            4312;
   148    1.310            3000            4313;
   149    1.319            3000            4313;
   150    1.328            3000            4313;
   151    1.337            3000            4313;
   152    1.346            3000            4313;
   153    1.355            3000            4313;
   154    1.364            3000            4313;
   155    1.372            3000            4313;
   156    1.381            3000            4313;
   157    1.390            3000            4313;
   158    1.399            3000            4313;
   159    1.408            3000            4313;
   160    1.417            3000            4313;
   161    1.426            3000            4313;
   162    1.434            3000            4313;
   163    1.443            3000            4313;
   164    1.452            3000            4313;
   165    1.461            3000            4313;
   166    1.470            3000            4313;
   167    1.479            3000            4313;
   168    1.488            3000            4313;
   169    1.496            3000            4313;
   170    1.505               0            4313;
   171    1.514               0            4284;
   172    1.523               0            4215;
   173    1.532               0            4116;
   174    1.541               0            3997;
   175    1.549               0            3860;
   176    1.558               0            3712;
   177    1.567               0            3556;
   178    1.576               0            3396;
   179    1.585               0            3236;
   180    1.594               0            3078;
   181    1.603               0            2927;
   182    1.611               0            2780;
   183    1.620               0            2641;
   184    1.629               0            2508;
   185    1.638               0            2381;
   186    1.647               0            2259;
   187    1.656               0            2143;
   188    1.665               0            2035;
   189    1.673               0            1934;
   190    1.682               0            1841;
   191    1.691               0            1753;
   192    1.700               0            1668;
   193    1.709               0            1587;
   194    1.718               0            1510;
   195    1.727               0            1437;
   196    1.735               0            1369;
   197    1.744               0            1305;
   198    1.753               0            1245;
   199    1.762               0            1188;
   200    1.771               0            1132;
   201    1.780               0            1079;
   202    1.789               0            1028;
   203    1.797               0             980;
   204    1.806               0             936;
   205    1.815               0             895;
   206    1.824               0             856;
   207    1.833               0             819;
   208    1.842               0             783;
   209    1.851               0             750;
   210    1.859               0             718;
   211    1.868               0             688;
   212    1.877               0             661;
   213    1.886               0             634;
   214    1.895               0             609;
   215    1.904               0             585;
   216    1.913               0             562;
   217    1.921               0             541;
   218    1.930               0             520;
   219    1.939               0             500;
   220    1.948               0             481;
   221    1.957               0             463;
   222    1.966               0             446;
   223    1.974               0             430;
   224    1.983               0             415;
   225    1.992               0             400;
   226    2.001               0             387;
   227    2.010               0             375;
   228    2.019               0             363;
   229    2.028               0             352;
   230    2.036               0             342;
   231    2.045               0             332;
   232    2.054               0             321;
   233    2.063               0             311;
   234    2.072               0             302;
   235    2.081               0             293;
   236    2.090               0             285;
   237    2.098               0             278;
   238    2.107               0             271;
   239    2.116               0             264;
   240    2.125               0             258;
   241    2.134               0             253;
   242    2.143               0             248;
   243    2.152               0             244;
   244    2.160               0             240;
   245    2.169               0             236;
   246    2.178               0             232;
   247    2.187               0             228;
   248    2.196               0             226;
   249    2.205               0             223;
   250    2.214               0             221;
   251    2.222               0             220;
   252    2.231               0             220;
   253    2.240               0             219;
   254    2.249               0             219;
   255    2.258               0             218;
   256    2.267               0             218;
   257    2.276               0             218;
   258    2.284               0             218;
   259    2.293               0             218;
   260    2.302               0             218;
   261    2.311               0             218;
   262    2.320               0             218;
   263    2.329               0             218;
   264    2.338               0             218;
   265    2.346               0             218;
   266    2.355               0             218;
   267    2.364               0             218;
   268    2.373               0             218;
   269    2.382               0             218;
   270    2.391               0             218;
   271    2.399               0             218;
   272    2.408               0             218;
   273    2.417               0             218;
   274    2.426               0             218;
   275    2.435               0             218;
   276    2.444               0             218;
   277    2.453               0             218;
   278    2.461               0             218;
   279    2.470               0             218;
   280    2.479               0             218;
   281    2.488               0             218;
   282    2.497               0             218;
   283    2.506               0             218;
   284    2.515               0             218;
   285    2.523               0             218;
   286    2.532               0             218;
   287    2.541               0             218;
   288    2.550               0             218;
   289    2.559               0             218;
   290    2.568               0             218;
   291    2.577               0             218;
   292    2.585               0             218;
   293    2.594               0             218;
   294    2.603               0             218;
   295    2.612               0             218;
   296    2.621               0             218;
   297    2.630               0             218;
   298    2.639               0             218;
   299    2.647               0             218;
   300    2.656               0             218;
   301    2.665               0             218;
   302    2.674               0             218;
   303    2.683               0             218;
   304    2.692               0             218;
   305    2.701               0             218;
   306    2.709               0             218;
   307    2.718               0             218;
   308    2.727               0             218;
   309    2.736               0             218;
   310    2.745               0             218;
   311    2.754               0             218;
   312    2.763               0             218;
   313    2.771               0             218;
   314    2.780               0             218;
   315    2.789               0             218;
   316    2.798               0             218;
   317    2.807               0             218;
   318    2.816               0             218;
   319    2.824               0             218;
   320    2.833               0             218;
   321    2.842               0             218;
   322    2.851               0             218;
   323    2.860               0             218;
   324    2.869               0             218;
   325    2.878               0             218;
   326    2.886               0             218;
   327    2.895               0             218;
   328    2.904               0             218;
   329    2.913               0             218;
   330    2.922               0             218;
   331    2.931               0             218;
   332    2.940               0             218;
   333    2.948               0             218;
   334    2.957               0             218;
   335    2.966               0             218;
   336    2.975               0             218;
   337    2.984               0             218;
   338    2.993               0             218;
   339    3.002               0             218;
   340    3.010           -3000             206;
   341    3.019           -3000             145;
   342    3.028           -3000              47;
   343    3.037           -3000             -79;
   344    3.046           -3000            -224;
   345    3.055           -3000            -384;
   346    3.064           -3000            -554;
   347    3.072           -3000            -732;
   348    3.081           -3000            -911;
   349    3.090           -3000           -1093;
   350    3.099           -3000           -1294;
   351    3.108           -3000           -1461;
   352    3.117           -3000           -1626;
   353    3.126           -3000           -1789;
   354    3.134           -3000           -1949;
   355    3.143           -3000           -2105;
   356    3.152           -3000           -2256;
   357    3.161           -3000           -2401;
   358    3.170           -3000           -2540;
   359    3.179           -3000           -2672;
   360    3.188           -3000           -2800;
   361    3.196           -3000           -2923;
   362    3.205           -3000           -3042;
   363    3.214           -3000           -3156;
   364    3.223           -3000           -3264;
   365    3.232           -3000           -3368;
   366    3.241           -3000           -3465;
   367    3.249           -3000           -3555;
